epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2458.31,0.67616,0.50412,0.95756,0.99723,1,0.995,0.84907,0.61608,0.44707,0.95327,0.0011486,0.0011486,0.0011486
45,2513.33,0.70793,0.52738,0.96567,0.99837,1,0.995,0.9046,0.50931,0.37366,0.88023,0.0011288,0.0011288,0.0011288
46,2565.64,0.67112,0.49235,0.92585,0.99837,1,0.995,0.85476,0.5584,0.3938,0.86862,0.001109,0.001109,0.001109
47,2625.65,0.65718,0.4834,0.90324,0.99856,1,0.995,0.92305,0.40807,0.35211,0.85137,0.0010892,0.0010892,0.0010892
48,2679.91,0.6336,0.47675,0.91932,0.99774,1,0.995,0.88004,0.4729,0.36827,0.85884,0.0010694,0.0010694,0.0010694
49,2734.88,0.69279,0.51055,0.92467,0.99793,1,0.995,0.88572,0.51747,0.40218,0.89716,0.0010496,0.0010496,0.0010496
50,2787.08,0.61467,0.47018,0.9056,0.99576,1,0.995,0.88764,0.56007,0.37913,0.9212,0.0010298,0.0010298,0.0010298
51,2844.68,0.6122,0.47999,0.95425,0.99769,1,0.995,0.92082,0.47649,0.34397,0.84196,0.00101,0.00101,0.00101
52,2898.35,0.61723,0.45792,0.94062,0.99865,1,0.995,0.91301,0.4803,0.35473,0.84058,0.0009902,0.0009902,0.0009902
53,2955.44,0.63002,0.45791,0.92484,0.99865,1,0.995,0.94485,0.37307,0.31179,0.82925,0.0009704,0.0009704,0.0009704
54,3014.89,0.56968,0.42555,0.89709,0.99803,1,0.995,0.90986,0.48987,0.38476,0.83505,0.0009506,0.0009506,0.0009506
55,3068.73,0.60213,0.44014,0.90513,0.99738,1,0.995,0.92402,0.40216,0.33376,0.83624,0.0009308,0.0009308,0.0009308
56,3129.44,0.60452,0.44162,0.94783,0.99807,1,0.995,0.93979,0.41555,0.31721,0.83721,0.000911,0.000911,0.000911
57,3184.89,0.61473,0.43351,0.92165,0.9985,1,0.995,0.94511,0.37713,0.31679,0.83254,0.0008912,0.0008912,0.0008912
58,3246.17,0.54973,0.4248,0.93249,0.9986,1,0.995,0.91031,0.41532,0.32032,0.83451,0.0008714,0.0008714,0.0008714
59,3308.33,0.68257,0.4723,0.93172,0.99809,1,0.995,0.89609,0.49812,0.38758,0.896,0.0008516,0.0008516,0.0008516
60,3359.29,0.64671,0.45524,0.90938,0.99689,1,0.995,0.9366,0.37058,0.31949,0.85151,0.0008318,0.0008318,0.0008318
61,3411.31,0.57556,0.41297,0.93091,0.99494,1,0.995,0.93196,0.38242,0.31848,0.84089,0.000812,0.000812,0.000812
62,3468.8,0.62309,0.44694,0.9526,0.99871,1,0.995,0.89995,0.47223,0.36296,0.86774,0.0007922,0.0007922,0.0007922
63,3524.31,0.58914,0.40411,0.90817,0.99867,1,0.995,0.93842,0.34454,0.30475,0.83235,0.0007724,0.0007724,0.0007724
64,3577.43,0.55141,0.43438,0.90337,0.99867,1,0.995,0.89797,0.51916,0.36662,0.84601,0.0007526,0.0007526,0.0007526
65,3633.25,0.65345,0.47898,0.93801,0.9987,1,0.995,0.93003,0.34771,0.30862,0.8219,0.0007328,0.0007328,0.0007328
