epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,12881.9,0.67932,0.57979,0.90017,0.9977,1,0.995,0.88349,0.50668,0.41892,0.79596,0.0011486,0.0011486,0.0011486
45,13181.5,0.73675,0.63117,0.92152,0.99793,1,0.995,0.90133,0.43747,0.36955,0.78739,0.0011288,0.0011288,0.0011288
46,13468.4,0.68415,0.57697,0.92294,0.99837,1,0.995,0.91003,0.43132,0.38374,0.78934,0.001109,0.001109,0.001109
47,13769.9,0.66208,0.55767,0.907,0.99864,1,0.995,0.90879,0.41022,0.35837,0.78848,0.0010892,0.0010892,0.0010892
48,14052.1,0.68217,0.5378,0.8968,0.99857,1,0.995,0.89867,0.47323,0.37881,0.78679,0.0010694,0.0010694,0.0010694
49,14351.9,0.70216,0.59038,0.92947,0.99857,1,0.995,0.93018,0.44829,0.37745,0.79249,0.0010496,0.0010496,0.0010496
50,14628.4,0.63845,0.54067,0.89642,0.9985,1,0.995,0.89891,0.44683,0.39867,0.78601,0.0010298,0.0010298,0.0010298
51,14931.5,0.67392,0.57123,0.91038,0.99845,1,0.995,0.93213,0.35701,0.34406,0.77545,0.00101,0.00101,0.00101
52,15223.5,0.61987,0.53859,0.88379,0.99859,1,0.995,0.9199,0.44939,0.3742,0.78505,0.0009902,0.0009902,0.0009902
53,15527.1,0.6939,0.55486,0.90959,0.99858,1,0.995,0.91087,0.49152,0.38478,0.7906,0.0009704,0.0009704,0.0009704
54,15832,0.64171,0.55692,0.89604,0.99852,1,0.995,0.90414,0.47978,0.33958,0.7886,0.0009506,0.0009506,0.0009506
55,16141.4,0.60336,0.54608,0.8952,0.99844,1,0.995,0.89761,0.46219,0.36116,0.78511,0.0009308,0.0009308,0.0009308
56,16426.5,0.64066,0.53119,0.90134,0.99854,1,0.995,0.92496,0.43763,0.32697,0.77987,0.000911,0.000911,0.000911
57,16749.6,0.57955,0.50038,0.88162,0.99856,1,0.995,0.93373,0.37554,0.31944,0.77715,0.0008912,0.0008912,0.0008912
58,17042.3,0.58444,0.50383,0.9028,0.99839,1,0.995,0.94725,0.34514,0.32498,0.77642,0.0008714,0.0008714,0.0008714
59,17340.7,0.60682,0.50313,0.88965,0.99825,1,0.995,0.92052,0.33862,0.317,0.77488,0.0008516,0.0008516,0.0008516
60,17633,0.61713,0.54054,0.90492,0.99851,1,0.995,0.9194,0.37152,0.31308,0.78416,0.0008318,0.0008318,0.0008318
61,17934.8,0.58538,0.48583,0.88151,0.99863,1,0.995,0.93854,0.33702,0.33371,0.77764,0.000812,0.000812,0.000812
62,18222.8,0.62424,0.53289,0.92173,0.99711,1,0.995,0.93389,0.34661,0.30681,0.77969,0.0007922,0.0007922,0.0007922
63,18521.2,0.52874,0.45598,0.86526,0.99852,1,0.995,0.91895,0.45528,0.3721,0.79848,0.0007724,0.0007724,0.0007724
64,18809.1,0.54159,0.4836,0.9043,0.99856,1,0.995,0.90992,0.49829,0.40274,0.80906,0.0007526,0.0007526,0.0007526
65,19110.3,0.53022,0.46662,0.86754,1,0.99572,0.995,0.86313,0.6105,0.49746,0.83812,0.0007328,0.0007328,0.0007328
66,19392.5,0.54082,0.46436,0.87681,0.99864,1,0.995,0.92019,0.39948,0.28955,0.78061,0.000713,0.000713,0.000713
67,19690.5,0.58207,0.47872,0.89156,0.99867,1,0.995,0.96659,0.32892,0.26061,0.77465,0.0006932,0.0006932,0.0006932
68,19976.6,0.58372,0.48262,0.88757,1,1,0.995,0.95066,0.29006,0.27951,0.76893,0.0006734,0.0006734,0.0006734
69,20272,0.56086,0.46491,0.88288,0.99867,1,0.995,0.97524,0.3189,0.27263,0.77642,0.0006536,0.0006536,0.0006536
70,20558.7,0.54575,0.46534,0.87671,0.99866,1,0.995,0.96912,0.30971,0.28261,0.77004,0.0006338,0.0006338,0.0006338
71,20855.9,0.53313,0.45402,0.8661,0.99836,1,0.995,0.97344,0.29511,0.28906,0.77413,0.000614,0.000614,0.000614
72,21131.1,0.52613,0.45737,0.86257,0.9983,1,0.995,0.95466,0.31788,0.29084,0.77049,0.0005942,0.0005942,0.0005942
73,21434.7,0.54391,0.47159,0.86851,0.99789,1,0.995,0.93986,0.35135,0.28166,0.78381,0.0005744,0.0005744,0.0005744
74,21729.5,0.5395,0.45519,0.87187,0.99857,1,0.995,0.9312,0.40291,0.29603,0.78102,0.0005546,0.0005546,0.0005546
75,22031.2,0.56048,0.44787,0.86823,0.99859,1,0.995,0.95445,0.35399,0.27553,0.77834,0.0005348,0.0005348,0.0005348
76,22332.2,0.52147,0.46614,0.86804,0.99869,1,0.995,0.95459,0.33458,0.25814,0.77918,0.000515,0.000515,0.000515
77,22633.7,0.52817,0.4513,0.88322,0.9987,1,0.995,0.98055,0.29452,0.25509,0.76826,0.0004952,0.0004952,0.0004952
78,22919.9,0.4731,0.41927,0.84071,0.99869,1,0.995,0.9695,0.27765,0.24128,0.76356,0.0004754,0.0004754,0.0004754
79,23215.9,0.50919,0.43959,0.87583,0.9987,1,0.995,0.95142,0.33014,0.24665,0.7697,0.0004556,0.0004556,0.0004556
80,23500.7,0.54366,0.44494,0.88014,0.9987,1,0.995,0.96887,0.29805,0.25585,0.76463,0.0004358,0.0004358,0.0004358
81,23799.3,0.5777,0.4636,0.88047,0.99869,1,0.995,0.95055,0.28641,0.25024,0.765,0.000416,0.000416,0.000416
82,24087.6,0.48593,0.42248,0.84299,0.99867,1,0.995,0.96116,0.31248,0.2569,0.76679,0.0003962,0.0003962,0.0003962
83,24389.5,0.48364,0.42367,0.88362,0.99866,1,0.995,0.9549,0.34296,0.26303,0.76524,0.0003764,0.0003764,0.0003764
84,24677.2,0.45774,0.41056,0.87096,0.99867,1,0.995,0.98181,0.28136,0.23798,0.75961,0.0003566,0.0003566,0.0003566
85,24972.4,0.44827,0.40385,0.86969,0.99871,1,0.995,0.98466,0.25829,0.22917,0.75795,0.0003368,0.0003368,0.0003368
86,25258.4,0.45979,0.40458,0.8522,0.99872,1,0.995,0.97227,0.27712,0.23865,0.76049,0.000317,0.000317,0.000317
87,25558,0.4099,0.37656,0.85578,0.99873,1,0.995,0.98144,0.24794,0.20849,0.75878,0.0002972,0.0002972,0.0002972
88,25843.3,0.45969,0.42078,0.86702,0.99872,1,0.995,0.96776,0.25113,0.22645,0.75964,0.0002774,0.0002774,0.0002774
89,26173.4,0.44495,0.39543,0.86301,0.99872,1,0.995,0.97034,0.26183,0.22899,0.76207,0.0002576,0.0002576,0.0002576
90,26535.3,0.4944,0.41326,0.86471,0.99872,1,0.995,0.94932,0.34055,0.26214,0.76299,0.0002378,0.0002378,0.0002378
91,26892.8,0.31323,0.29183,0.78812,1,1,0.995,0.98525,0.24874,0.24132,0.75922,0.000218,0.000218,0.000218
92,27247.6,0.28385,0.28148,0.81561,1,1,0.995,0.9862,0.2327,0.22436,0.7598,0.0001982,0.0001982,0.0001982
93,27572.4,0.27959,0.27213,0.78075,1,1,0.995,0.96978,0.22289,0.22162,0.75717,0.0001784,0.0001784,0.0001784
94,27875.4,0.2708,0.26787,0.76355,1,1,0.995,0.96675,0.21831,0.21873,0.75602,0.0001586,0.0001586,0.0001586
95,28217.2,0.27928,0.27853,0.78282,0.99875,1,0.995,0.967,0.24375,0.22128,0.75936,0.0001388,0.0001388,0.0001388
96,28538.6,0.27489,0.25902,0.7858,0.99874,1,0.995,0.97067,0.2798,0.22608,0.7596,0.000119,0.000119,0.000119
97,28857.3,0.26659,0.26248,0.77203,1,1,0.995,0.97265,0.231,0.224,0.75833,9.92e-05,9.92e-05,9.92e-05
98,29184.4,0.26488,0.25233,0.78749,1,1,0.995,0.9687,0.20605,0.21936,0.75669,7.94e-05,7.94e-05,7.94e-05
99,29552,0.2595,0.26501,0.78288,1,1,0.995,0.97375,0.20982,0.21551,0.758,5.96e-05,5.96e-05,5.96e-05
100,29977.5,0.25085,0.25132,0.79282,1,1,0.995,0.96633,0.2145,0.21098,0.75721,3.98e-05,3.98e-05,3.98e-05
